referencia,ano,mes,variacao_geral,variacao_alimentacao,variacao_habitacao,variacao_artigos_residencia,variacao_vestuario,variacao_transporte,variacao_saude_cuidados_pessoais,variacao_despesas_pessoais,variacao_educacao,variacao_comunicacao,variacao_alimentacao_dec,variacao_habitacao_dec,variacao_artigos_residencia_dec,variacao_vestuario_dec,variacao_transporte_dec,variacao_saude_cuidados_pessoais_dec,variacao_despesas_pessoais_dec,variacao_educacao_dec,variacao_comunicacao_dec,consolidado_ano,identificador_ibge
2019-04,2019,04,0.57,0.63,0.24,-0.24,0.18,0.94,1.51,0.17,0.09,0.03,0.12159,0.03744,-0.00912,0.00828,0.19363999999999998,0.20385,0.01819,0.00549,0.00171,false,Num201904
2019-05,2019,05,0.13,-0.56,0.98,-0.1,0.34,0.07,0.59,0.16,-0.04,-0.03,-0.10808000000000001,0.15288,-0.0038,0.01564,0.01442,0.07965,0.01712,-0.00244,-0.00171,false,Num201905
2019-06,2019,06,0.01,-0.25,0.07,0.02,0.3,-0.31,0.64,0.15,0.14,-0.02,-0.04825,0.010920000000000001,0.00076,0.0138,-0.06386,0.0864,0.01605,0.00854,-0.0011400000000000002,false,Num201906
2019-07,2019,07,0.19,0.01,1.2,0.29,-0.52,-0.17,-0.2,0.44,0.04,0.57,0.00193,0.1872,0.011019999999999999,-0.02392,-0.03502,-0.027000000000000003,0.04708,0.00244,0.03249,false,Num201907
2019-08,2019,08,0.11,-0.35,1.19,0.56,0.23,-0.39,-0.03,0.31,0.16,0.09,-0.06755,0.18564,0.02128,0.01058,-0.08034,-0.00405,0.03317,0.00976,0.00513,false,Num201908
2019-09,2019,09,-0.04,-0.43,0.02,-0.76,0.27,0,0.58,0.04,0.04,-0.01,-0.08299,0.00312,-0.02888,0.01242,0,0.0783,0.00428,0.00244,-0.0005700000000000001,false,Num201909
2019-10,2019,10,0.1,0.05,-0.61,-0.09,0.63,0.45,0.4,0.2,0.03,-0.01,0.00965,-0.09516,-0.00342,0.02898,0.09269999999999999,0.054000000000000006,0.021400000000000002,0.0018299999999999998,-0.0005700000000000001,false,Num201910
2019-11,2019,11,0.51,0.72,0.71,-0.36,0.35,0.3,0.21,1.24,0.08,-0.02,0.13896,0.11076,-0.01368,0.0161,0.061799999999999994,0.02835,0.13268,0.00488,-0.0011400000000000002,false,Num201911
2019-12,2019,12,1.15,3.38,-0.82,-0.48,0,1.54,0.42,0.92,0.2,0.66,0.65234,-0.12792,-0.01824,0,0.31723999999999997,0.0567,0.09844,0.0122,0.03762,true,Num201912
2020-01,2020,01,0.21,0.39,0.55,-0.07,-0.48,0.32,-0.32,0.35,0.16,0.12,0.07527,0.0858,-0.00266,-0.02208,0.06591999999999999,-0.0432,0.03745,0.00976,0.00684,false,Num202001
2020-02,2020,02,0.25,0.11,-0.39,-0.08,-0.73,-0.23,0.73,0.31,3.7,0.21,0.021230000000000002,-0.060840000000000005,-0.00304,-0.03358,-0.04738,0.09855,0.03317,0.2257,0.01197,false,Num202002
