referencia,estado,municipio,quantidade
2015,PARAIBA,OLIVEDOS,60
2015,SAO PAULO,IPEUNA,25.95
2015,PARANA,LOANDA,38000.229999999996
2020,SAO PAULO,SANDOVALINA,539.95
2017,MINAS GERAIS,CORONEL FABRICIANO,0.01
2016,ALAGOAS,CAMPO ALEGRE,322
2016,MINAS GERAIS,JABOTICATUBAS,0.01
2021,PARANA,CAMPINA DO SIMAO,128.56
2013,PARA,REDENCAO,9792.76
2016,PARAIBA,SAO BENTO,3.18
2018,RIO DE JANEIRO,VALENCA,1.16
2015,TOCANTINS,SAO VALERIO DA NATIVIDADE,0.02
2020,MINAS GERAIS,PATROCINIO,56.27
2021,PARAIBA,PIRPIRITUBA,21560
2016,SERGIPE,CAPELA,5.61
2013,MATO GROSSO DO SUL,CASSILANDIA,550
2016,PARAIBA,LUCENA,5.8
2021,BAHIA,PINDOBACU,0.02
2018,RIO GRANDE DO SUL,MONTAURI,0.12000000000000001
2015,SAO PAULO,TARABAI,0.06
2021,PARAIBA,MATARACA,13.16
2021,SANTA CATARINA,PONTE ALTA,100
2015,GOIAS,GOIANIA,1028.59
2018,CEARA,RUSSAS,164621.63
2016,MINAS GERAIS,AIURUOCA,2317.2999999999997
2014,PERNAMBUCO,BODOCO,195
2015,ALAGOAS,DELMIRO GOUVEIA,255.06
2014,PARANA,ENTRE RIOS DO OESTE,0.2
2018,RIO GRANDE DO SUL,JULIO DE CASTILHOS,8.3
